month,policeprecinct,requesttype,n
2020-01,77TH STREET,Bulky Items,3256
2020-01,77TH STREET,Dead Animal Removal,145
2020-01,77TH STREET,Electronic Waste,229
2020-01,77TH STREET,Graffiti Removal,2064
2020-01,77TH STREET,Homeless Encampment,136
2020-01,77TH STREET,Illegal Dumping Pickup,969
2020-01,77TH STREET,Metal/Household Appliances,508
2020-01,77TH STREET,Multiple Streetlight Issue,30
2020-01,77TH STREET,Single Streetlight Issue,52
2020-01,CENTRAL,Bulky Items,352
2020-01,CENTRAL,Dead Animal Removal,22
2020-01,CENTRAL,Electronic Waste,15
2020-01,CENTRAL,Graffiti Removal,1889
2020-01,CENTRAL,Homeless Encampment,199
2020-01,CENTRAL,Illegal Dumping Pickup,131
2020-01,CENTRAL,Metal/Household Appliances,37
2020-01,CENTRAL,Multiple Streetlight Issue,34
2020-01,CENTRAL,Single Streetlight Issue,81
2020-01,DEVONSHIRE,Bulky Items,3170
2020-01,DEVONSHIRE,Dead Animal Removal,220
2020-01,DEVONSHIRE,Electronic Waste,237
2020-01,DEVONSHIRE,Graffiti Removal,664
2020-01,DEVONSHIRE,Homeless Encampment,246
2020-01,DEVONSHIRE,Illegal Dumping Pickup,429
2020-01,DEVONSHIRE,Metal/Household Appliances,772
2020-01,DEVONSHIRE,Multiple Streetlight Issue,67
2020-01,DEVONSHIRE,Single Streetlight Issue,38
2020-01,FOOTHILL,Bulky Items,2918
2020-01,FOOTHILL,Dead Animal Removal,124
2020-01,FOOTHILL,Electronic Waste,228
2020-01,FOOTHILL,Graffiti Removal,815
2020-01,FOOTHILL,Homeless Encampment,195
2020-01,FOOTHILL,Illegal Dumping Pickup,1051
2020-01,FOOTHILL,Metal/Household Appliances,532
2020-01,FOOTHILL,Multiple Streetlight Issue,60
2020-01,FOOTHILL,Single Streetlight Issue,39
2020-01,HARBOR,Bulky Items,2734
2020-01,HARBOR,Dead Animal Removal,95
2020-01,HARBOR,Electronic Waste,204
2020-01,HARBOR,Graffiti Removal,1730
2020-01,HARBOR,Homeless Encampment,157
2020-01,HARBOR,Illegal Dumping Pickup,487
2020-01,HARBOR,Metal/Household Appliances,588
2020-01,HARBOR,Multiple Streetlight Issue,21
2020-01,HARBOR,Single Streetlight Issue,28
2020-01,HOLLENBECK,Bulky Items,2410
2020-01,HOLLENBECK,Dead Animal Removal,92
2020-01,HOLLENBECK,Electronic Waste,173
2020-01,HOLLENBECK,Graffiti Removal,2807
2020-01,HOLLENBECK,Homeless Encampment,195
2020-01,HOLLENBECK,Illegal Dumping Pickup,527
2020-01,HOLLENBECK,Metal/Household Appliances,327
2020-01,HOLLENBECK,Multiple Streetlight Issue,66
2020-01,HOLLENBECK,Single Streetlight Issue,53
2020-01,HOLLYWOOD,Bulky Items,2099
2020-01,HOLLYWOOD,Dead Animal Removal,47
2020-01,HOLLYWOOD,Electronic Waste,113
2020-01,HOLLYWOOD,Graffiti Removal,1309
2020-01,HOLLYWOOD,Homeless Encampment,320
2020-01,HOLLYWOOD,Illegal Dumping Pickup,421
2020-01,HOLLYWOOD,Metal/Household Appliances,328
2020-01,HOLLYWOOD,Multiple Streetlight Issue,26
2020-01,HOLLYWOOD,Single Streetlight Issue,87
2020-01,MISSION,Bulky Items,3662
2020-01,MISSION,Dead Animal Removal,140
2020-01,MISSION,Electronic Waste,308
2020-01,MISSION,Graffiti Removal,988
2020-01,MISSION,Homeless Encampment,221
2020-01,MISSION,Illegal Dumping Pickup,926
2020-01,MISSION,Metal/Household Appliances,713
2020-01,MISSION,Multiple Streetlight Issue,42
2020-01,MISSION,Single Streetlight Issue,48
2020-01,NEWTON,Bulky Items,1772
2020-01,NEWTON,Dead Animal Removal,121
2020-01,NEWTON,Electronic Waste,109
2020-01,NEWTON,Graffiti Removal,4207
2020-01,NEWTON,Homeless Encampment,357
2020-01,NEWTON,Illegal Dumping Pickup,727
2020-01,NEWTON,Metal/Household Appliances,279
2020-01,NEWTON,Multiple Streetlight Issue,41
2020-01,NEWTON,Single Streetlight Issue,89
2020-01,NORTH HOLLYWOOD,Bulky Items,3309
2020-01,NORTH HOLLYWOOD,Dead Animal Removal,108
2020-01,NORTH HOLLYWOOD,Electronic Waste,181
2020-01,NORTH HOLLYWOOD,Graffiti Removal,1169
2020-01,NORTH HOLLYWOOD,Homeless Encampment,384
2020-01,NORTH HOLLYWOOD,Illegal Dumping Pickup,519
2020-01,NORTH HOLLYWOOD,Metal/Household Appliances,494
2020-01,NORTH HOLLYWOOD,Multiple Streetlight Issue,51
