GEOID,off_sale,on_sale,other,total_licenses
06037005907,0,0,1,1
06037007202,1,0,0,1
06037007402,1,1,0,2
06037101122,1,0,1,2
06037101220,1,1,1,3
06037101221,1,0,2,3
06037101222,2,0,1,3
06037101300,5,0,0,5
06037101400,3,3,2,8
06037102105,0,1,0,1
06037102107,3,0,1,4
06037103102,6,6,2,14
06037103201,4,1,0,5
06037103202,1,1,0,2
06037103300,2,1,1,4
06037103401,1,0,0,1
06037103402,3,0,0,3
06037104108,3,0,0,3
06037104124,2,2,0,4
06037104201,2,0,0,2
06037104203,1,0,0,1
06037104204,1,0,0,1
06037104310,2,0,0,2
06037104321,3,2,1,6
06037104322,1,1,0,2
06037104403,3,1,0,4
06037104404,3,4,0,7
06037104500,3,1,0,4
06037104610,1,2,0,3
06037104620,1,0,0,1
06037104701,1,2,0,3
06037104703,0,2,4,6
06037104704,3,1,5,9
06037104821,1,0,0,1
06037104822,4,2,1,7
06037104824,2,0,0,2
06037106111,0,1,0,1
06037106112,2,0,5,7
06037106113,1,2,1,4
06037106114,5,3,0,8
06037106403,4,3,4,11
06037106405,1,0,0,1
06037106406,3,0,0,3
06037106407,3,0,0,3
06037106408,1,0,0,1
06037106510,1,1,0,2
06037106520,1,0,2,3
06037106603,0,0,4,4
06037106604,5,2,0,7
06037106642,2,0,0,2
06037106645,0,2,0,2
06037106646,3,2,0,5
06037106648,3,1,1,5
06037107010,3,4,2,9
06037107020,1,0,0,1
06037108102,2,2,1,5
06037108202,1,11,4,16
06037108203,0,0,3,3
06037108204,4,7,1,12
06037109100,3,2,0,5
06037109200,2,0,0,2
06037109300,2,1,0,3
06037109500,6,0,0,6
06037109601,2,0,0,2
06037109603,3,2,0,5
06037109604,9,8,0,17
06037109700,2,1,0,3
06037109800,2,0,0,2
06037110113,0,0,4,4
06037111100,2,2,0,4
06037111201,7,1,0,8
06037111202,3,7,1,11
06037111205,2,4,0,6
06037111206,5,9,0,14
06037111302,3,4,0,7
06037111303,2,3,1,6
06037111304,2,0,0,2
06037111400,1,0,0,1
06037111401,2,2,1,5
06037111402,2,2,0,4
06037113101,0,2,0,2
06037113102,5,1,1,7
06037113212,4,6,2,12
06037113213,4,2,1,7
06037113231,1,2,0,3
06037113232,1,5,4,10
06037113233,0,0,1,1
06037113234,4,2,0,6
06037113237,4,5,8,17
06037113238,1,1,0,2
06037113239,2,0,0,2
06037113301,6,27,2,35
06037113303,4,5,7,16
06037113322,1,2,0,3
06037113323,1,4,2,7
06037113324,1,0,0,1
06037113401,0,1,3,4
06037113421,0,0,1,1
06037113423,1,1,0,2
06037113424,6,5,1,12
06037113425,2,2,3,7
06037113426,2,3,0,5
06037113428,3,0,0,3
06037115101,4,0,0,4
06037115103,0,4,2,6
06037115104,1,0,0,1
06037115202,7,18,0,25
06037115203,0,2,0,2
06037115204,2,8,2,12
06037115301,2,3,0,5
06037115302,3,3,0,6
06037115401,3,2,1,6
06037115403,6,5,0,11
06037115404,1,2,0,3
06037117101,2,1,0,3
06037117102,1,0,0,1
06037117201,2,1,0,3
06037117202,2,0,0,2
06037117302,8,7,0,15
06037117303,3,2,2,7
06037117404,3,3,0,6
06037117405,1,0,0,1
06037117407,1,0,0,1
06037117408,0,1,1,2
06037117510,1,0,0,1
06037117520,2,3,1,6
06037117530,4,3,0,7
06037119003,1,1,0,2
06037119004,3,0,0,3
06037119201,2,0,0,2
06037119202,5,0,0,5
06037119310,1,0,0,1
06037119340,1,1,0,2
06037119341,1,1,1,3
06037119400,1,0,0,1
06037119700,1,0,1,2
06037119801,2,0,0,2
06037119802,1,3,0,4
06037119900,1,1,0,2
06037120010,2,2,0,4
06037120020,0,1,0,1
06037120030,5,1,0,6
06037120104,3,0,0,3
06037120105,2,4,1,7
06037120107,1,0,0,1
06037120300,1,2,0,3
06037120400,5,9,2,16
06037121010,4,1,0,5
06037121020,1,0,0,1
06037121101,5,7,0,12
06037121102,5,1,0,6
06037121210,1,1,2,4
06037121222,2,5,0,7
06037121801,1,1,0,2
06037121802,5,1,0,6
06037121900,5,0,4,9
06037122000,5,1,6,12
06037122120,2,0,0,2
06037122121,1,1,0,2
06037122122,2,3,0,5
06037122200,2,1,7,10
06037122410,1,1,0,2
06037122420,4,3,1,8
06037123010,2,0,3,5
06037123103,5,0,0,5
06037123104,3,2,0,5
06037123203,5,1,0,6
06037123204,2,0,0,2
06037123205,2,1,0,3
06037123206,3,2,10,15
06037123301,6,3,6,15
06037123303,4,3,1,8
06037123304,7,3,10,20
06037123364,0,0,1,1
06037123410,4,4,0,8
06037123420,4,4,0,8
06037123510,3,0,0,3
06037123520,3,3,0,6
06037123601,1,2,0,3
06037123602,1,1,0,2
06037123700,2,2,5,9
06037123800,5,0,1,6
06037123901,6,9,2,17
06037123902,2,1,0,3
06037124000,4,5,1,10
06037124102,4,2,0,6
06037124103,1,2,2,5
06037124104,1,0,0,1
06037124105,2,1,0,3
06037124201,3,2,1,6
06037124203,1,0,0,1
06037124204,1,0,0,1
06037124300,3,7,6,16
06037124400,2,2,2,6
06037124500,4,1,0,5
06037124700,4,5,3,12
06037124902,2,0,0,2
06037124903,4,3,0,7
06037125101,3,1,0,4
06037125102,2,0,1,3
06037125200,3,3,3,9
06037125310,4,2,2,8
06037125320,0,1,0,1
06037125321,1,4,1,6
06037125322,0,12,9,21
06037125402,1,2,1,4
06037125403,1,1,1,3
06037125404,3,18,3,24
06037125501,3,2,0,5
06037125502,1,2,1,4
06037125600,1,1,0,2
06037127102,1,2,2,5
06037127103,1,0,2,3
06037127104,1,1,0,2
06037127210,5,2,0,7
06037127220,4,3,0,7
06037127300,2,6,0,8
06037127400,4,2,32,38
06037127520,1,1,3,5
06037127603,2,0,0,2
06037127604,3,0,0,3
06037127605,2,3,2,7
06037127606,2,0,1,3
06037127712,1,0,0,1
06037127803,0,5,2,7
06037127804,2,0,0,2
06037127805,3,4,1,8
06037127806,4,2,0,6
06037127910,3,2,0,5
06037127920,1,0,0,1
06037128101,3,3,0,6
06037128102,4,2,0,6
06037128210,1,1,1,3
06037128220,2,1,0,3
06037128302,2,1,0,3
06037128303,1,3,3,7
06037128400,7,4,5,16
06037128500,3,6,0,9
06037128601,3,3,0,6
06037128602,2,1,1,4
06037128703,2,1,0,3
06037128704,0,3,0,3
06037128801,1,1,0,2
06037128802,2,2,1,5
06037128910,3,0,0,3
06037131021,2,1,0,3
06037131023,1,2,0,3
06037131024,0,3,1,4
06037131100,2,2,1,5
06037131200,2,0,0,2
06037131300,3,0,0,3
06037131400,1,2,0,3
06037131600,5,0,0,5
06037131701,3,1,1,5
06037131702,1,1,0,2
06037131801,4,1,0,5
06037131802,1,1,0,2
06037131900,6,7,3,16
06037132001,1,1,0,2
06037132002,4,0,0,4
06037132101,2,0,0,2
06037132102,2,2,0,4
06037132301,2,0,0,2
06037132302,3,5,0,8
06037132502,1,0,0,1
06037132700,3,0,0,3
06037133000,2,2,0,4
06037133100,0,0,2,2
06037133101,1,0,0,1
06037133102,0,1,1,2
06037134001,1,4,0,5
06037134002,1,0,0,1
06037134103,1,2,0,3
06037134104,3,1,0,4
06037134201,2,3,0,5
06037134302,1,0,0,1
06037134303,8,9,3,20
06037134304,1,0,0,1
06037134305,4,2,5,11
06037134306,2,2,0,4
06037134422,0,3,2,5
06037134423,3,0,0,3
06037134520,4,1,0,5
06037134521,2,5,0,7
06037134522,2,6,3,11
06037134710,2,1,0,3
06037134720,1,2,0,3
06037134800,1,0,0,1
06037134801,3,2,0,5
06037134802,7,6,0,13
06037134901,2,0,1,3
06037134904,1,1,0,2
06037134905,0,9,4,13
06037134906,3,0,0,3
06037134907,1,1,0,2
06037135102,1,0,0,1
06037135111,1,2,0,3
06037135113,1,5,4,10
06037135114,1,3,0,4
06037135115,0,5,1,6
06037135116,4,29,4,37
06037135201,8,11,8,27
06037135202,4,1,2,7
06037135204,2,3,1,6
06037137000,4,9,0,13
06037137103,1,3,8,12
06037137104,1,4,0,5
06037137203,7,9,1,17
06037137301,2,0,1,3
06037137401,3,5,3,11
06037137402,2,7,2,11
06037137501,3,7,2,12
06037137502,8,26,5,39
06037138000,0,0,3,3
06037139001,1,0,0,1
06037139200,3,0,0,3
06037139301,1,0,0,1
06037139302,1,1,0,2
06037139303,1,0,0,1
06037139401,10,26,3,39
06037139402,3,18,1,22
06037139502,3,6,1,10
06037139504,1,0,0,1
06037139505,2,1,0,3
06037139506,2,1,0,3
06037139600,5,25,8,38
06037139701,6,24,9,39
06037139703,0,0,2,2
06037139704,1,0,1,2
06037139801,0,0,2,2
06037141101,4,20,6,30
06037141102,3,17,6,26
06037141201,4,11,8,23
06037141202,3,7,2,12
06037141303,2,1,1,4
06037141304,0,23,4,27
06037141305,4,9,4,17
06037141306,4,17,7,28
06037141400,0,6,1,7
06037141500,0,0,1,1
06037143101,4,18,6,28
06037143102,4,8,3,15
06037143200,4,5,2,11
06037143301,2,5,4,11
06037143302,2,3,3,8
06037143401,1,0,0,1
06037143402,3,1,2,6
06037143500,3,2,0,5
06037143602,3,13,0,16
06037143603,0,5,4,9
06037143606,4,4,1,9
06037143700,3,10,8,21
06037143800,0,1,0,1
06037143801,5,26,14,45
06037143802,2,17,6,25
06037143901,6,34,12,52
06037143902,1,12,1,14
06037180402,0,1,0,1
06037181000,3,10,7,20
06037181300,3,3,0,6
06037181400,4,18,1,23
06037181500,0,1,0,1
06037181600,1,4,1,6
06037183101,4,1,2,7
06037183103,1,0,0,1
06037183104,0,0,1,1
06037183220,1,1,1,3
06037183221,2,0,0,2
06037183222,0,0,5,5
06037183300,3,6,5,14
06037183401,4,12,10,26
06037183402,3,5,0,8
06037183520,2,0,0,2
06037183610,3,14,4,21
06037183620,1,1,0,2
06037183701,5,5,2,12
06037183702,0,1,3,4
06037183810,6,12,6,24
06037185101,3,1,0,4
06037185202,0,0,2,2
06037185203,1,2,0,3
06037185310,2,2,2,6
06037185320,0,1,0,1
06037186100,1,1,2,4
06037186201,2,1,2,5
06037186202,3,1,0,4
06037186203,2,0,2,4
06037186302,4,4,3,11
06037186401,3,5,5,13
06037186403,1,3,2,6
06037186404,3,2,1,6
06037187100,0,1,0,1
06037187101,1,6,4,11
06037187102,4,1,0,5
06037187200,0,7,3,10
06037187300,3,6,1,10
