GEOID,vacancy_rate,owner_occ_rate,renter_occ_rate,median_contract_rent,median_home_value
06037101110,7.2,51.2,48.8,1486.0,739600.0
06037101122,3.1,77.9,22.1,3291.0,917600.0
06037101220,1.7,43.9,56.1,1298.0,734700.0
06037101300,3.3,79.1,20.9,2322.0,890900.0
06037101400,12.3,72.6,27.4,1487.0,799200.0
06037102103,13.0,58.1,41.9,2279.0,821300.0
06037102104,8.4,76.8,23.2,2995.0,745800.0
06037102105,7.7,58.9,41.1,1740.0,731800.0
06037102107,5.7,78.6,21.4,1720.0,964600.0
06037103101,1.9,86.7,13.3,2064.0,798600.0
06037103102,7.1,68.2,31.8,1433.0,616400.0
06037103300,10.1,86.7,13.3,2452.0,1113500.0
06037104103,2.0,83.5,16.5,2118.0,669100.0
06037104105,2.3,49.4,50.6,1200.0,470200.0
06037104108,6.5,41.7,58.3,1730.0,583900.0
06037104124,3.6,83.5,16.5,1148.0,677600.0
06037104201,3.0,76.4,23.6,1926.0,622300.0
06037104203,7.7,61.6,38.4,1417.0,551900.0
06037104204,2.4,68.8,31.2,1305.0,565400.0
06037104310,4.8,79.3,20.7,1828.0,611300.0
06037104401,8.4,55.2,44.8,1431.0,642000.0
06037104403,12.4,68.2,31.8,2050.0,614400.0
06037104404,0.0,43.3,56.7,1637.0,597300.0
06037104500,3.4,72.9,27.1,1943.0,564800.0
06037104610,7.1,59.2,40.8,1538.0,620800.0
06037104620,0.0,66.6,33.4,1524.0,603900.0
06037104701,4.8,23.7,76.3,1137.0,621200.0
06037104703,7.6,38.9,61.1,1670.0,479200.0
06037104704,4.0,64.9,35.1,1891.0,350000.0
06037104821,2.6,38.5,61.5,1536.0,661800.0
06037104822,2.2,34.1,65.9,1507.0,665200.0
06037106010,3.5,80.9,19.1,2519.0,688700.0
06037106020,3.3,72.3,27.7,1963.0,700800.0
06037106111,4.3,96.0,4.0,,613700.0
06037106112,3.3,81.7,18.3,2212.0,652000.0
06037106113,0.0,89.8,10.2,1804.0,661900.0
06037106114,3.1,49.0,51.0,1759.0,548800.0
06037106403,0.7,76.5,23.5,1521.0,648200.0
06037106405,4.3,63.6,36.4,1112.0,532600.0
06037106406,6.3,77.0,23.0,2253.0,501800.0
06037106407,8.9,15.9,84.1,1508.0,358900.0
06037106408,7.9,16.8,83.2,1724.0,466100.0
06037106510,8.6,77.9,22.1,2197.0,707600.0
06037106520,5.5,69.9,30.1,1754.0,637300.0
06037106603,0.0,88.9,11.1,1920.0,958200.0
06037106604,0.0,38.5,61.5,1712.0,733400.0
06037106641,7.7,83.2,16.8,3262.0,1043500.0
06037106642,3.7,90.5,9.5,3500.0,914900.0
06037106643,6.4,95.7,4.3,2269.0,1191700.0
06037106645,3.5,87.1,12.9,3501.0,1041100.0
06037106646,1.6,85.4,14.6,1833.0,803900.0
06037106648,1.8,41.3,58.7,1492.0,547500.0
06037106649,5.0,89.7,10.3,2634.0,666400.0
06037107010,3.9,66.7,33.3,2014.0,682100.0
06037107020,4.1,70.4,29.6,1976.0,626400.0
06037108101,3.6,91.3,8.7,3250.0,991200.0
06037108102,2.5,86.0,14.0,3044.0,944100.0
06037108103,4.6,89.9,10.1,3501.0,1075000.0
06037108104,5.2,85.1,14.9,3501.0,1030200.0
06037108202,9.4,71.0,29.0,3082.0,1328800.0
06037109100,8.1,69.2,30.8,1486.0,541400.0
06037109200,5.2,86.0,14.0,2772.0,719700.0
06037109300,5.4,88.1,11.9,2456.0,752100.0
06037109400,3.3,68.3,31.7,1919.0,551900.0
06037109500,4.6,78.1,21.9,1913.0,642800.0
06037109601,1.9,85.2,14.8,2271.0,686900.0
06037109603,0.0,59.5,40.5,1625.0,673100.0
06037109604,4.4,80.6,19.4,1049.0,694900.0
06037109700,4.1,71.4,28.6,1976.0,773600.0
06037109800,2.2,74.6,25.4,1864.0,690400.0
06037111100,5.7,61.3,38.7,1950.0,766700.0
06037111201,7.0,86.8,13.2,2125.0,879700.0
06037111202,1.3,61.6,38.4,2406.0,752700.0
06037111204,4.1,87.3,12.7,3501.0,1101800.0
06037111205,4.1,55.8,44.2,1977.0,764900.0
06037111206,9.4,92.5,7.5,2910.0,918300.0
06037111302,4.8,46.8,53.2,1890.0,978100.0
06037113101,2.0,89.1,10.9,2750.0,938500.0
06037113102,0.5,97.0,3.0,,1237500.0
06037113211,6.4,79.6,20.4,2360.0,667300.0
06037113212,2.8,58.7,41.3,1947.0,769500.0
06037113213,1.3,64.6,35.4,2122.0,731700.0
06037113231,4.4,87.5,12.5,1875.0,1011800.0
06037113232,2.4,88.2,11.8,2417.0,930400.0
06037113234,2.6,48.5,51.5,1589.0,561400.0
06037113235,5.2,68.8,31.2,2234.0,588800.0
06037113237,7.1,71.3,28.7,2215.0,952600.0
06037113301,10.3,43.7,56.3,3004.0,1073400.0
06037113303,0.8,81.5,18.5,2371.0,831700.0
06037113322,1.7,76.8,23.2,1843.0,855500.0
06037115101,5.4,86.2,13.8,,1117800.0
06037115103,48.1,0.0,100.0,1306.0,
06037115104,9.5,27.1,72.9,1979.0,683000.0
06037115202,3.1,38.6,61.4,1935.0,814400.0
06037115301,6.9,52.0,48.0,2108.0,939700.0
06037115302,2.1,36.7,63.3,1659.0,846900.0
06037115401,7.8,33.6,66.4,1737.0,769000.0
06037115403,2.3,21.4,78.6,1356.0,831100.0
06037115404,4.4,42.4,57.6,1917.0,794700.0
06037117101,3.6,67.0,33.0,1479.0,621800.0
06037117102,6.5,81.9,18.1,2121.0,609100.0
06037117201,4.9,28.6,71.4,1360.0,717400.0
06037117202,4.8,64.4,35.6,921.0,742100.0
06037117301,1.5,74.3,25.7,3051.0,819700.0
06037117302,6.6,75.4,24.6,1790.0,851900.0
06037117303,2.1,88.2,11.8,,871500.0
06037117404,2.2,78.5,21.5,2215.0,812600.0
06037117405,8.8,9.0,91.0,1456.0,371200.0
06037117407,1.9,0.7,99.3,1449.0,
06037117408,1.3,13.7,86.3,1404.0,629300.0
06037117510,6.6,10.7,89.3,1938.0,442900.0
06037117520,4.3,7.3,92.7,1462.0,531300.0
06037117530,2.3,16.3,83.7,1392.0,501100.0
06037119001,0.9,83.5,16.5,2278.0,662400.0
06037119201,2.0,82.0,18.0,2081.0,619200.0
06037119202,1.4,65.7,34.3,1469.0,604600.0
06037119310,1.5,55.6,44.4,1124.0,449700.0
06037119320,0.0,31.2,68.8,1805.0,559800.0
06037119340,5.5,0.8,99.2,1389.0,
06037119341,0.0,39.6,60.4,1699.0,462800.0
06037119342,4.3,48.5,51.5,1778.0,448800.0
06037119400,2.2,82.9,17.1,2175.0,639500.0
06037119700,5.3,77.8,22.2,,683100.0
06037119900,3.7,78.7,21.3,2058.0,619900.0
06037120010,0.0,49.9,50.1,1202.0,623300.0
06037120020,1.3,17.3,82.7,1455.0,610200.0
06037120030,3.7,9.0,91.0,1184.0,671200.0
06037120103,2.0,6.2,93.8,1436.0,376900.0
06037120104,2.0,6.3,93.7,1712.0,509300.0
06037120105,2.9,33.8,66.2,1129.0,620000.0
06037120106,2.4,19.8,80.2,1373.0,
06037120107,0.0,6.2,93.8,1455.0,534400.0
06037120108,3.3,38.9,61.1,1463.0,451900.0
06037120300,1.1,60.6,39.4,1301.0,666300.0
06037120400,0.0,34.7,65.3,1391.0,649900.0
06037121010,6.0,73.8,26.2,1602.0,768600.0
06037121020,8.9,58.0,42.0,1653.0,750400.0
06037121101,1.3,42.7,57.3,1534.0,574200.0
06037121102,9.2,63.8,36.2,1640.0,782500.0
06037121210,5.4,66.0,34.0,1346.0,668300.0
06037121221,3.2,76.7,23.3,1426.0,614300.0
06037121222,4.7,40.5,59.5,1494.0,697100.0
06037121600,11.4,85.7,14.3,2102.0,770700.0
06037121801,7.7,28.0,72.0,1689.0,609000.0
06037121802,10.4,63.9,36.1,1125.0,696000.0
06037121900,18.8,46.7,53.3,1371.0,685800.0
06037122000,2.1,68.9,31.1,1803.0,704100.0
06037122120,0.0,53.0,47.0,1738.0,716900.0
06037122121,1.1,33.5,66.5,1536.0,633200.0
06037122122,5.0,15.2,84.8,1540.0,569700.0
06037122200,11.0,51.1,48.9,1729.0,715200.0
06037122410,2.9,13.0,87.0,1592.0,456300.0
06037122420,3.1,28.9,71.1,1471.0,793300.0
06037123010,5.2,30.7,69.3,1474.0,662300.0
06037123020,7.7,56.1,43.9,1510.0,627500.0
06037123103,5.1,42.2,57.8,1702.0,647400.0
